user,location,date,coordinates,content
LastQuake,"based in Paris, works globally",2019-12-17 06:19:34,"{'type': 'Point', 'coordinates': [125.34, 6.59]}",M4.9 #earthquake (#lindol) strikes 61 km SW of #Davao (#Philippines) 12 min ago. Read eyewitnesses' stories &amp; share… https://t.co/AMsCVjAxzK
K12Lioness,Opinions Are My Own.,2019-12-17 06:19:13,,ALERT‼️ Another #Earthquake hits the #Philippines. https://t.co/CnpVUYzcBH
NCseismicobserv,"IRD Noumea, New Caledonia",2019-12-17 06:18:40,,"ird2019ypyf Mindanao, Philippines mb 5.0 2019/12/17 06:07:20 - Event has not yet been reviewed by a seismologist. F… https://t.co/GAPUMh9IiN"
LastQuake,"based in Paris, works globally",2019-12-17 06:18:04,"{'type': 'Point', 'coordinates': [125.34, 6.59]}",M4.9 #earthquake (#lindol) strikes 61 km SW of #Davao (#Philippines) 11 min ago. Effects reported by eyewitnesses: https://t.co/PG9nG3RQPR
quakeupdates,"USA, Australia, Indonesia, NZ & Japan",2019-12-17 06:17:21,,"A M4.9 earthquake has been reported by the GEOFON for M 4.9, Mindanao, Philippines. Link: https://t.co/oCQsQ5xTFQ"
eqgr,"Athens, Greece",2019-12-17 06:17:11,,"4⃣9⃣ 🇵🇭 Earthquake Mw 4.9, 17/12 14:07, depth: 10 Km, MINDANAO, PHILIPPINES (Source: GFZ Potsdam) #earthquake -… https://t.co/7OSTRBxKeV"
LastQuake,"based in Paris, works globally",2019-12-17 06:16:52,"{'type': 'Point', 'coordinates': [125.34, 6.59]}","This is the 11th felt #earthquake in Mindanao, Philippines in the last 49 hours https://t.co/wPtMW5ND1t"
LastQuake,"based in Paris, works globally",2019-12-17 06:16:47,"{'type': 'Point', 'coordinates': [125.34, 6.59]}",Felt #earthquake (#lindol) M4.9 strikes 61 km SW of #Davao (#Philippines) 9 min ago. Please report to:… https://t.co/ofMle1rR2B
EMSC,"Bruyères-Le-Chatel, France",2019-12-17 06:16:45,,#Earthquake (#lindol) M4.9 strikes 61 km SW of #Davao (#Philippines) 9 min ago. More info: https://t.co/JxL6rKwwRW
myearthquakeapp,Earth,2019-12-17 06:16:35,,"4.88 earthquake occurred near Mindanao, Philippines at 06:07 UTC! #earthquake #Mindanao https://t.co/jgFe6LnUor"
quakeupdates,"USA, Australia, Indonesia, NZ & Japan",2019-12-17 06:11:20,,"A M5.7 earthquake has been reported by the BMKG for Mindanao, Philippines. Link: https://t.co/uvJVkmI6cM"
LastQuake,"based in Paris, works globally",2019-12-17 06:09:06,,#Earthquake (#lindol) possibly felt 2 min ago in #Davao #Philippines. Felt it? See https://t.co/wPtMW5ND1t https://t.co/pNvdbOzGqj
quakeupdates,"USA, Australia, Indonesia, NZ & Japan",2019-12-17 06:06:20,,"A M4.8 earthquake has been reported by the BMKG for Mindanao, Philippines. Link: https://t.co/uvJVkmI6cM"
amyslayer,Everywhere,2019-12-17 05:57:27,,You turned into the Philippines. Congrats. Matter of time before a two-bit land-grabbing preacher takes credit for… https://t.co/58z8gCqDoa
