user,location,date,coordinates,content
VolcanoEWS,Mars,2021-02-10 18:05:57,,New Earthquake 0.78 km of Salado - Argentina - 3.00m/157km - 10/02/2021 18:05:56 UTC (NSNA/Automatic) #eqvyt_1950 (0x)
EMSC,"Bruyères-Le-Chatel, France",2021-02-10 18:05:50,,#Earthquake (#sismo) M3.0 strikes 41 km SE of #Tinogasta (#Argentina) 9 min ago. More info: https://t.co/uD75nKg0II
quakenotices,California,2021-02-10 18:01:15,,"#earthquake  2021-02-10 17:09:56 (M4.3) Catamarca-La Rioja region, Argentina -28.4 -67.2 (1cbfb) https://t.co/FfSxvGGrlp"
AlertasCL,Chile,2021-02-10 18:00:02,"{'type': 'Point', 'coordinates': [-67.24, -28.36]}","Temblor: mb 4.3 LA RIOJA, ARGENTINA: Magnitude   mb 4.3 Region   LA RIOJA, ARGENTINA Date time   2021-02-10 17:09:56.6 UTC Location   28.36 S ; 67.24 W Depth   140 km https://t.co/swmGJnMU7F"
WatchOurCity,California,2021-02-10 17:57:05,,"M4.3 Earthquake - Catamarca-La Rioja region, Argentina

Preliminary Report

Magnitude4.3
Date-Time10 Feb 2021  17:09:57 UTC10 Feb 2021  14:09:57 near epicenter10 Feb 2021  09:09:57 standard time in your timezone
Location28.364S,  67.243W
Depth139

https://t.co/lPtd7Xb8AI"
WatchOurCity,California,2021-02-10 17:56:06,,"(USGS) Earthquake: Magnitude 4.3 – Catamarca-La Rioja region, Argentina https://t.co/kAAIeVKDVU #Andalgalï¿½Argentina #AraucoArgentina #ChilecitoArgentina #Earthquakes #LaRiojaArgentina #TinogastaArgentina"
earthquake247,,2021-02-10 17:55:18,,"#Earthquake of magnitude 4.3 at 45 km SE of Tinogasta, #Argentina. Retweet if you felt it."
QuakesToday,,2021-02-10 17:55:04,"{'type': 'Point', 'coordinates': [-67.243, -28.365]}","4.3 magnitude #earthquake. 46 km from #Tinogasta, Catamarca, Argentina https://t.co/6dKT4F0c97"
quakeupdates,"USA, Australia, Indonesia, NZ & Japan",2021-02-10 17:55:02,,"A M4.3 earthquake has been reported by the USGS for 45 km SE of Tinogasta, Argentina. Link: https://t.co/ue4VV4FCgq"
everyEarthquake,Earth,2021-02-10 17:55:02,"{'type': 'Point', 'coordinates': [-67.2427, -28.3645]}","USGS reports a M4.3 earthquake, 45 km SE of Tinogasta, Argentina on 2/10/21 @ 17:09:56 UTC https://t.co/wfxKsgy8jj #earthquake"
earthshook,,2021-02-10 17:54:58,"{'type': 'Point', 'coordinates': [-67.2427, -28.3645]}","Mb 4.3 earthquake (reviewed) occured at 2021-02-10T17:09:56 UTC, 45 km SE of Tinogasta, Argentina https://t.co/xe6pN2XPfD"
IvanMamani82,Peronia,2021-02-10 17:16:48,,"¡Ocurrió un sismo de magnitud 3.90 cerca a Catamarca, Argentina a las 14:09! https://t.co/oFwm7Tnmag https://t.co/KCQnlnO04j"
EQAlerts,,2021-02-10 17:16:11,,"#Earthquake M3.9 CATAMARCA, ARGENTINA 6mins ago 10 Feb 17:09 UTC - report/info: 
https://t.co/WavzninyLK"
VolcanoEWS,Mars,2021-02-10 17:16:03,,New Earthquake 4.61 km of Salado - Argentina - 3.90m/155km - 10/02/2021 17:16:02 UTC (NSNA/Automatic) #eqvyt_1941 (0x)
EMSC,"Bruyères-Le-Chatel, France",2021-02-10 17:15:56,,#Earthquake (#sismo) M3.9 strikes 42 km SE of #Tinogasta (#Argentina) 6 min ago. More info: https://t.co/FilSOqJ1HJ
EMSC,"Bruyères-Le-Chatel, France",2021-02-10 17:07:44,,#Earthquake (#sismo) M2.6 strikes 105 km W of San Antonio de los Cobres (#Argentina) 15 min ago. More info: https://t.co/qVvbCtw4RA
GlobalEarthqua1,,2021-02-10 15:15:07,,"An earthquake is expected in  ATACAMA, CHILE 

Magnitude m b 4.9
Region ATACAMA, CHILE
Date time 2021-02-11 02:51:07.3 UTC
Location 25.71 S ; 68.84 W
Depth 111 km
Distances 779 km NW of Córdoba, Argentina https://t.co/y04h31uU2n"
VolcanoEWS,Mars,2021-02-10 14:26:15,,New Earthquake 8.07 km of Mogote La Torre - Argentina - 3.20m/10km - 10/02/2021 14:26:14 UTC (NSNA/Automatic) #eqvyt_1919 (0x)
EMSC,"Bruyères-Le-Chatel, France",2021-02-10 14:26:05,,#Earthquake (#sismo) M3.2 strikes 50 km N of San Juan (#Argentina) 10 min ago. More info: https://t.co/qPXa8tJxjT
EQAlerts,,2021-02-10 14:22:14,,"#Earthquake M3.2 SAN JUAN (Argentina) 6mins ago 10 Feb 14:15 UTC - report/info: 
https://t.co/7QtATJjbsn"
VolcanoEWS,Mars,2021-02-10 10:44:35,,New Earthquake 4.71 km of Chachas - Argentina - 2.80ml/208km - 10/02/2021 10:44:34 UTC (CSN/Automatic) #eqvyt_1880 (0x)
EMSC,"Bruyères-Le-Chatel, France",2021-02-10 10:44:26,,#Earthquake (#sismo) M2.8 strikes 114 km W of San Antonio de los Cobres (#Argentina) 20 min ago. More info: https://t.co/2043NCuDr6
quakeupdates,"USA, Australia, Indonesia, NZ & Japan",2021-02-10 09:35:06,,"A M3.8 earthquake has been reported by the GEOFON for M 3.8, San Juan Province, Argentina. Link: https://t.co/CVvgALTUYn"
EarthquakeView,,2021-02-10 06:53:32,,"Earthquake : M 4.4 - 76 km W of El Aguilar, Argentina: Time2021-02-09 09:23:25 UTC2021-02-09 09:23:25 UTC at epicenterLocation23.135°S 66.427°WDepth227.88 km (141.60 mi) https://t.co/18yVTMp0bd"
VolcanoEWS,Mars,2021-02-10 06:41:21,,New Earthquake 5.95 km of Paso de Retamito - Argentina - 3.00m/179km - 10/02/2021 06:41:20 UTC (NSNA/Automatic) #eqvyt_1838 (0x)
EMSC,"Bruyères-Le-Chatel, France",2021-02-10 06:41:13,,#Earthquake (#sismo) M3.0 strikes 87 km W of San Luis (#Argentina) 6 min ago. More info: https://t.co/lfzPulrGyu
GlobalEarthqua1,,2021-02-10 04:53:05,,"An earthquake is expected in      MENDOZA, ARGENTINA

Magnitude M w 4.5
Region MENDOZA, ARGENTINA
Date time 2021-02-10 19:47:09.9 UTC
Location 32.49 S ; 70.07 W
Depth 100 km
Distances 120 km NE of Santiago, Chile https://t.co/nuQjA0WhIj"
EMSC,"Bruyères-Le-Chatel, France",2021-02-10 01:49:31,,#Earthquake (#sismo) M2.7 strikes 124 km W of San Antonio de los Cobres (#Argentina) 25 min ago. More info: https://t.co/kp5XoorTYe
EMSC,"Bruyères-Le-Chatel, France",2021-02-09 23:51:20,,#Earthquake (#sismo) M2.5 strikes 128 km W of San Antonio de los Cobres (#Argentina) 46 min ago. More info: https://t.co/2v3FJQCO2o
